Time,Res_percent
13.978805,0.490859372
14.04982,0.467421947
14.121641,0.4504509
14.192222,0.439369128
14.262466,0.435163102
14.333957,0.44106061
14.411314,0.452240967
14.486157,0.460330994
14.557202,0.460732776
14.643538,0.445085693
14.723119,0.40174281
14.794621,0.33773087
14.865228,0.269324067
14.934141,0.204171857
15.001797,0.147962484
15.089501,0.109022522
15.156189,0.084583078
15.222802,0.067239109
15.292028,0.05341667
15.357355,0.043080275
15.423309,0.047788787
15.491801,0.077075323
15.565438,0.13364148
15.644703,0.214722211
15.717558,0.316705503
15.791303,0.412360407
15.864513,0.481099064
15.93298,0.516481442
16.004831,0.523991439
16.078617,0.508402313
16.148111,0.484949693
16.222311,0.464720985
16.290042,0.450958654
16.359543,0.441466253
16.429491,0.434101596
16.498933,0.435229524
16.568635,0.443245131
16.640086,0.451792024
16.712167,0.454677396
16.784239,0.4493706
16.856647,0.419525435
16.92665,0.366795264
16.995793,0.303416424
17.070212,0.239731843
17.141798,0.180309698
17.211296,0.135575439
17.283589,0.104959103
17.355857,0.083570944
17.430633,0.0672337
17.505239,0.053914064
17.577714,0.052572845
17.6498,0.074122615
17.719058,0.122416868
17.790515,0.197446056
17.862706,0.295916319
17.93381,0.395771454
18.002167,0.474600827
18.073552,0.522181036
18.145885,0.537494335
18.219611,0.527082253
18.290215,0.504128713
18.367677,0.480660366
18.442626,0.46258239
18.515082,0.450426107
18.589955,0.441990544
18.661268,0.442597954
18.732661,0.450085883
18.803202,0.45810629
18.874757,0.460991805
18.946044,0.45463657
19.02108,0.423688419
19.09264,0.370927555
19.167798,0.306998377
19.239739,0.242763458
19.315162,0.183315267
19.389056,0.138095631
19.470466,0.106948765
19.547557,0.085062105
19.621336,0.06822636
19.693124,0.05489711
19.763738,0.055580936
19.835328,0.079778594
19.907419,0.132245298
19.980842,0.20928048
20.052315,0.307710274
20.138588,0.40392338
20.207613,0.475863071
20.276912,0.514974287
20.346817,0.525624881
20.414957,0.513176352
20.484488,0.490784181
20.556839,0.470540004
20.625325,0.456230884
20.692979,0.447254549
20.767012,0.44093025
20.841076,0.442577786
20.914872,0.448975623
20.990282,0.452276309
21.079335,0.446840166
21.153589,0.431158718
21.23163,0.390965885
21.306776,0.331169091
21.37888,0.266967994
21.452002,0.207038895
21.525442,0.154398749
21.600703,0.116952443
21.671986,0.093474107
21.74265,0.077106784
21.817421,0.06376365
21.890643,0.054891754
21.959643,0.065207893
22.028855,0.101182837
22.09745,0.163951703
22.168835,0.249676982
22.242513,0.350315034
22.314798,0.437333231
22.388578,0.495273618
22.459917,0.519821035
22.533359,0.519131958
22.60433,0.499901631
22.676063,0.476453543
22.750969,0.457310149
22.824074,0.445686393
22.894698,0.437783359
22.971752,0.437827158
23.045141,0.446903323
23.117584,0.459668264
23.1869,0.468303418
23.258577,0.468201745
23.333136,0.446713737
23.404097,0.399607799
23.474249,0.335020949
23.545027,0.267064886
23.618722,0.203380821
23.692113,0.151800381
23.761914,0.115447608
23.831047,0.092001281
23.897772,0.075137604
23.966086,0.061298116
24.033728,0.049960569
24.1004,0.050601439
24.173034,0.074208268
24.246979,0.125094718
24.319851,0.202172651
24.392259,0.300645198
24.463331,0.39997126
24.535583,0.475605204
24.609231,0.517882869
24.680001,0.52898053
24.757442,0.516453608
24.83151,0.491922484
24.899166,0.469003208
24.968988,0.452550309
25.042923,0.44147565
25.112056,0.434629402
25.183293,0.436805908
25.256926,0.444799006
25.326735,0.452802578
25.395029,0.455671258
25.466384,0.447722813
25.540364,0.415735554
25.609624,0.363005466
25.682288,0.300173085
25.753663,0.237529141
25.825671,0.180690496
25.89622,0.137540627
25.963871,0.107928584
26.035884,0.088505397
26.103504,0.073634706
26.17425,0.060795396
26.244876,0.05689113
26.319085,0.073831961
26.39692,0.115496587
26.469499,0.183955134
26.542691,0.275812927
26.612653,0.375610094
26.685825,0.4570003
26.758718,0.508191436
26.830693,0.525989601
26.902919,0.519132269
26.972156,0.497253263
27.043648,0.473795546
27.115289,0.455716068
27.187398,0.445156228
27.260786,0.436734749
27.334864,0.435209186
27.408649,0.442176207
27.476631,0.451769359
27.547414,0.456721025
27.623741,0.454526779
27.698308,0.430971016
27.771248,0.382876883
27.84093,0.320440711
27.912302,0.256152903
27.983441,0.196097518
28.054732,0.149147041
28.127437,0.116393457
28.19666,0.093970258
