Time,Res_percent
66.688717,2.348127485
66.754197,2.338337119
66.817183,2.297327921
66.87633,2.223219715
66.937416,2.155641568
67.002281,2.120818066
67.068475,2.10539943
67.135251,2.118425544
67.199378,2.200220902
67.26715,2.2507281
67.336635,2.267578771
67.399094,2.257446567
67.457712,2.21757558
67.520538,2.045386377
67.585315,1.851035444
67.649971,1.641055636
67.711001,1.401308012
67.772761,1.118202099
67.833937,0.882762877
67.896129,0.669237046
67.951842,0.490135874
68.016121,0.362926458
68.082566,0.321289974
68.148626,0.364999367
68.21056,0.491225859
68.272914,0.694864427
68.339815,0.96455221
68.403743,1.256951787
68.47112,1.528859567
68.539831,1.762475945
68.605587,1.95720876
68.673294,2.100246627
68.735543,2.223590791
68.801646,2.315156909
68.864181,2.364851321
68.93047,2.347304223
68.99441,2.280863868
69.075391,2.15550741
69.141732,2.032590669
69.206902,1.944163934
69.266757,1.941332212
69.330306,2.002643135
69.391924,2.115981752
69.451445,2.212616802
69.518217,2.283790195
69.580324,2.27251219
69.644693,2.181480749
69.705701,2.012542319
69.768834,1.817455578
69.829053,1.577816959
69.892128,1.314022518
69.951476,1.068944237
70.008831,0.851766293
70.072137,0.657598966
70.133408,0.507194869
70.197662,0.414808925
70.25988,0.374871138
70.320974,0.406130999
70.385354,0.534812306
70.447163,0.735518871
70.509536,0.999954843
70.571477,1.286958186
70.636974,1.573630321
70.702012,1.791797571
70.763216,1.97692915
70.824828,2.123512309
70.88697,2.238013492
70.95213,2.3097205
71.012748,2.362063176
71.073985,2.370344894
71.135197,2.331194391
71.198094,2.262039202
71.26367,2.191006035
71.329263,2.129044097
71.397342,2.08645281
71.458906,2.095304771
71.519965,2.164499719
71.582125,2.247458425
71.644844,2.307212176
71.705743,2.344593988
71.767756,2.338243872
71.829394,2.221911139
71.888213,2.034962287
71.950998,1.836188928
72.011544,1.611631724
72.072723,1.329828617
72.135825,1.077134299
72.199727,0.852106536
72.259565,0.640551107
72.320224,0.462646269
72.381157,0.363296403
72.443057,0.335266236
72.506277,0.405949511
72.568051,0.567420971
72.630379,0.814222607
72.692169,1.118121667
72.754455,1.426680001
72.814364,1.704482743
72.876977,1.934281832
72.936942,2.108293257
72.998508,2.238602634
73.059747,2.339430227
73.116555,2.403140084
73.181562,2.435039746
73.245411,2.424202661
73.306923,2.365558078
73.367716,2.274339218
73.428873,2.147999298
73.492166,2.032853106
73.557019,1.947882043
73.62253,1.91445646
73.693414,1.948782606
73.759096,2.034136494
73.821546,2.108507134
73.884436,2.160279308
73.948271,2.19639673
74.010969,2.127304464
74.072806,1.999072456
74.137415,1.831900923
74.208165,1.634060419
74.274316,1.347553899
74.337663,1.084285838
74.405379,0.832786699
74.469449,0.615197762
74.529772,0.443884573
74.592705,0.371490201
74.653329,0.384229862
74.71485,0.499674719
74.775862,0.709823691
74.842833,0.984796026
74.90843,1.289506831
74.967897,1.580082602
75.032066,1.817145626
75.093833,2.003832353
75.152867,2.149317615
75.220415,2.254545103
75.284631,2.331626444
75.345867,2.38374449
75.406285,2.371246251
75.467943,2.316442882
75.526046,2.24381611
75.586557,2.151046096
75.64909,2.06585241
75.711734,2.029222689
75.772412,2.031977211
